"month","year","city","numberOfRetailers","numberOfReturns","grossSales","grossSalesBlankCode","retailSales","retailSalesBlankCode","stateNetTaxableSales","stateNetTaxableSalesBlankCode","stateSalesTax","stateSalesTaxBlankCode"
"1","2016","Total",,"181,057","15,936,435,000",,"12,583,091,000",,"6,655,972,000",,"187,859,000",
"1","2016","Remainder",,"39,000","2,174,481,000",,"1,629,915,000",,"776,156,000",,"21,991,000",
"1","2016","Agate",,"57","101,000",,"53,000",,"45,000",,"1,000",
"1","2016","Aguilar",,"143","330,000",,"320,000",,"122,000",,"3,000",
"1","2016","Akron",,"289","4,940,000",,"4,358,000",,"1,000,000",,"28,000",
"1","2016","Alamosa",,"676","35,933,000",,"33,126,000",,"15,041,000",,"422,000",
"1","2016","Alma",,"150","478,000",,"476,000",,"318,000",,"9,000",
"1","2016","Antonito",,"190","793,000",,"732,000",,"366,000",,"10,000",
"1","2016","Arriba",,"52","187,000",,"186,000",,"45,000",,"1,000",
"1","2016","Arvada",,"2,134","209,908,000",,"185,459,000",,"95,208,000",,"2,686,000",
"1","2016","Aspen",,"1,118","103,913,000",,"101,530,000",,"74,254,000",,"2,101,000",
"1","2016","Ault",,"294","4,561,000",,"4,324,000",,"1,376,000",,"39,000",
"1","2016","Aurora",,"4,732","924,017,000",,"722,494,000",,"364,033,000",,"10,243,000",
"1","2016","Avon",,"667","51,443,000",,"49,175,000",,"32,998,000",,"926,000",
"1","2016","Basalt",,"804","18,750,000",,"17,583,000",,"9,530,000",,"269,000",
"1","2016","Bayfield",,"326","14,128,000",,"13,597,000",,"2,181,000",,"61,000",
"1","2016","Bennett",,"353","9,814,000",,"9,084,000",,"2,867,000",,"80,000",
"1","2016","Berthoud",,"489","8,233,000",,"6,206,000",,"3,701,000",,"104,000",
"1","2016","Black Hawk",,"298","6,603,000",,"6,393,000",,"4,169,000",,"165,000",
"1","2016","Blanca",,"130","251,000",,"251,000",,"99,000",,"3,000",
"1","2016","Boone",,"62","67,000",,"67,000",,"29,000",,"1,000",
"1","2016","Boulder",,"2,931","436,461,000",,"317,023,000",,"188,031,000",,"5,290,000",
"1","2016","Breckenridge",,"1,027","69,943,000",,"68,970,000",,"52,758,000",,"1,484,000",
"1","2016","Brighton",,"1,415","114,175,000",,"101,442,000",,"54,419,000",,"1,526,000",
"1","2016","Broomfield",,"1,737","185,728,000",,"161,644,000",,"83,010,000",,"2,372,000",
"1","2016","Brush",,"449","7,788,000",,"6,660,000",,"2,759,000",,"77,000",
"1","2016","Buena Vista",,"473","9,537,000",,"9,128,000",,"4,041,000",,"114,000",
"1","2016","Burlington",,"433","14,943,000",,"13,697,000",,"4,890,000",,"141,000",
"1","2016","Byers",,"189","1,352,000",,"1,097,000",,"371,000",,"11,000",
"1","2016","Calhan",,"272","1,365,000",,"1,322,000",,"587,000",,"17,000",
"1","2016","Campo",,"64","63,000",,"61,000",,"32,000",,"1,000",
"1","2016","Canon City",,"741","40,732,000",,"37,839,000",,"18,462,000",,"523,000",
"1","2016","Carbondale",,"592","14,057,000",,"13,624,000",,"6,994,000",,"196,000",
"1","2016","Castle Pines",,"344","8,601,000",,"8,478,000",,"3,521,000",,"99,000",
"1","2016","Castle Rock",,"1,364","101,899,000",,"94,888,000",,"58,791,000",,"1,652,000",
"1","2016","Cedaredge",,"277","2,585,000",,"2,174,000",,"1,006,000",,"28,000",
"1","2016","Centennial",,"1,953","366,194,000",,"267,115,000",,"157,023,000",,"4,431,000",
"1","2016","Center",,"320","1,524,000",,"1,382,000",,"944,000",,"27,000",
"1","2016","Central City",,"224","748,000",,"731,000",,"609,000",,"24,000",
"1","2016","Cheraw",,"49","101,000",,"101,000",,"50,000",,"1,000",
"1","2016","Cherry Hills Village",,"290","3,983,000",,"3,374,000",,"1,340,000",,"38,000",
"1","2016","Cheyenne Wells",,"236","1,150,000",,"1,060,000",,"558,000",,"16,000",
"1","2016","Clifton",,"216","6,778,000",,"6,537,000",,"4,053,000",,"114,000",
